job,18.chord,18.fret_end,18.fret_start,22.strength,3.seed,status,gpu,attempts,files,reason
00010042,C,5,0,0.8,42,done,gpu0,1,9-neck_00001_.png:12f8083634dd0a19 19-neck-map_00001_.png:12f8083634dd0a19,
00010043,C,5,0,0.8,43,done,gpu0,1,9-neck_00002_.png:12f8083634dd0a19 19-neck-map_00002_.png:12f8083634dd0a19,
00020042,G,5,0,0.8,42,done,gpu0,2,9-neck_00003_.png:12f8083634dd0a19 19-neck-map_00003_.png:12f8083634dd0a19,
00020043,G,5,0,0.8,43,done,gpu0,1,9-neck_00004_.png:12f8083634dd0a19 19-neck-map_00004_.png:12f8083634dd0a19,
00030042,Am,5,0,0.8,42,done,gpu0,1,9-neck_00005_.png:12f8083634dd0a19 19-neck-map_00005_.png:12f8083634dd0a19,
00030043,Am,5,0,0.8,43,done,gpu0,1,9-neck_00006_.png:12f8083634dd0a19 19-neck-map_00006_.png:12f8083634dd0a19,
00040042,F,5,0,0.8,42,done,gpu0,1,9-neck_00007_.png:12f8083634dd0a19 19-neck-map_00007_.png:12f8083634dd0a19,
00040043,F,5,0,0.8,43,done,gpu0,1,9-neck_00008_.png:12f8083634dd0a19 19-neck-map_00008_.png:12f8083634dd0a19,
00050042,D,5,0,0.8,42,done,gpu0,1,9-neck_00009_.png:12f8083634dd0a19 19-neck-map_00009_.png:12f8083634dd0a19,
00050043,D,5,0,0.8,43,done,gpu0,1,9-neck_00010_.png:12f8083634dd0a19 19-neck-map_00010_.png:12f8083634dd0a19,
00060042,E7,5,0,0.8,42,done,gpu0,1,9-neck_00011_.png:12f8083634dd0a19 19-neck-map_00011_.png:12f8083634dd0a19,
00060043,E7,5,0,0.8,43,done,gpu0,1,9-neck_00012_.png:12f8083634dd0a19 19-neck-map_00012_.png:12f8083634dd0a19,
00070042,Cmaj7,5,0,0.8,42,done,gpu0,1,9-neck_00013_.png:12f8083634dd0a19 19-neck-map_00013_.png:12f8083634dd0a19,
00070043,Cmaj7,5,0,0.8,43,done,gpu0,1,9-neck_00014_.png:12f8083634dd0a19 19-neck-map_00014_.png:12f8083634dd0a19,
00080042,Dm7,5,0,0.8,42,done,gpu0,1,9-neck_00015_.png:12f8083634dd0a19 19-neck-map_00015_.png:12f8083634dd0a19,
00080043,Dm7,5,0,0.8,43,done,gpu0,1,9-neck_00016_.png:12f8083634dd0a19 19-neck-map_00016_.png:12f8083634dd0a19,
00090042,G7,5,0,0.8,42,done,gpu0,1,9-neck_00017_.png:12f8083634dd0a19 19-neck-map_00017_.png:12f8083634dd0a19,
00090043,G7,5,0,0.8,43,done,gpu0,1,9-neck_00018_.png:12f8083634dd0a19 19-neck-map_00018_.png:12f8083634dd0a19,
00100042,Bm7b5,5,0,0.8,42,done,gpu0,1,9-neck_00019_.png:12f8083634dd0a19 19-neck-map_00019_.png:12f8083634dd0a19,
00100043,Bm7b5,5,0,0.8,43,done,gpu0,1,9-neck_00020_.png:12f8083634dd0a19 19-neck-map_00020_.png:12f8083634dd0a19,
