sha,committed_at,subject
eda2608592fdde5151881793763104d7295f9c6a,2026-09-13T11:52:51-04:00,"Initial learn site: Starlight, bilingual en/fr, WSL containers course"
f43ba7e0052da1059f6cb144334c0436ea752a0e,2026-09-13T12:04:58-04:00,Import Streeling University modules from Demerzel
a79c0bcd42878d581d8b3853217b61eea0d8cc9f,2026-09-13T12:20:02-04:00,"Add Rust for C#/Java developers course, lessons 1-4"
f834dcf298206efddfa70d4f5478f733a4547277,2026-09-13T12:21:06-04:00,Remove stray bash stackdump and ignore crash dumps
4715f83eb53acdd9970f2797e185db21c3f4f443,2026-09-13T12:34:28-04:00,"WSL containers journal: pre-release 2.9.11 installed, hello-world runs"
4d29ba02e785e2ae04c76719d12ac766854170b9,2026-09-13T12:45:52-04:00,"Rust course: lessons 5-8 (structs/enums, Option/Result, traits, iterators)"
1adf60f7ec6fd0025fbfce79bd8f2744e623b131,2026-09-13T12:50:07-04:00,WSL containers journal: stale PATH and per-privilege wslc sessions
afe6ef4c7468ad72378a98f6d4c7a1865394a35d,2026-09-13T12:56:03-04:00,WSL containers journal: verify per-session isolation and on-disk storage
bd9249eb94bf1520b35864a7e5abf1f4ce70909f,2026-09-13T13:01:46-04:00,WSL containers journal: limit wslc session CPU and memory
9d3344b2a8ad99f4aa7d5ce368eae5cc1d168f89,2026-09-13T13:03:51-04:00,WSL containers journal: keep wslc session at 8 CPU / 16 GB
f84a44ed4ad19d03e88d35be547160f29efb4222,2026-09-13T13:10:01-04:00,WSL containers journal: admin session settings and Windows-side VM memory
00f2ca4afc711e4e01e4345bbe8a7ec8120befcc,2026-09-13T13:13:23-04:00,"Rust course: lessons 9-12 (lifetimes, modules, smart pointers, threads)"
95a42daa36c4353c0b5282461469a891edf30e7e,2026-09-13T13:13:23-04:00,Group courses under a Software Engineering area
6145ed718b8f70b2878eb56e09a8f2c0253aea77,2026-09-13T13:18:10-04:00,Split Software Engineering into sub-areas
d20097c5fd8a3146d4b3cfd319fee6d07ec246bd,2026-09-13T13:25:35-04:00,"WSL containers journal: idle teardown, Docker coexistence, ports, vhdx growth"
6739492ecf2813f5240fb83c22e34a757104235d,2026-09-13T13:40:31-04:00,"Rust course code: lessons 13-15, cargo fmt, CI on Windows, Linux and macOS"
9f5d4c83df72c10a53aeef4fbceba0ba222bfc17,2026-09-13T13:41:54-04:00,WSL containers lesson 4: C# minimal API and Spring Boot WebFlux images
6275f6acfdb89c1da290ea944bedc62314c14031,2026-09-13T13:42:46-04:00,CI: run cargo fmt --check from each crate directory
8ef03ec7e75dda635da5278add210f064cd4852b,2026-09-13T13:51:42-04:00,Widen the reading column on large screens
04c8770830c5666ca1e9bb8a4711065edfb351b4,2026-09-13T13:52:31-04:00,WSL containers journal: compact a session storage.vhdx with Optimize-VHD
e1b62afa6f868fb34dcae9ef2937ed0a2b16adb9,2026-09-13T14:02:06-04:00,Stretch Markdown tables to the full column on desktop
60bf8abf843d6a96dfd3946d244fe2394bc47034,2026-09-13T14:02:35-04:00,WSL containers journal: Podman restarted alongside Docker Desktop
1faa32e9fcf083290121d9f5b9890bbece1789e2,2026-09-13T14:03:48-04:00,Add an Artifacts page listing shared Claude artifacts
9849105de797fa506e5f8e70cbc4057f99f540fb,2026-09-13T14:08:58-04:00,"Rust course: lessons 13-15, OS tabs, reference links, French mirror"
d513d2031ec27e251d625e259204dee1088ea3f6,2026-09-13T14:19:29-04:00,"WSL containers lesson 4: tool links, French code comments, consistent IDs"
43f5b5a62006d62c4af9a69727e9abcf4eb422fe,2026-09-13T14:35:08-04:00,WSL containers: run qdrant with wslc; lesson 5 hint avoids the Docker port
9dcd1e45d641ae284937271611ba3b8343db8c57,2026-09-13T14:54:23-04:00,WSL containers: Compose with wslc (none in 2.9.11) and a tested script equivalent
529c946221e47ad17d4ef822df4e0ab02990cdb6,2026-09-13T15:09:05-04:00,"Java for C# developers: lessons 1-4, tested code and journal"
91f485da01dd456318d12acfb6883b9d62b77a29,2026-09-13T15:12:53-04:00,wsl-containers: C# program driving containers with Microsoft.WSL.Containers
75a12588fbb616e30bd31ae2e869b7b5bb7c1117,2026-09-13T15:13:29-04:00,Rust lesson 13: make the retry exercise immune to slow CI runners
