project,package,version
AllProjects.AppHost/AllProjects.AppHost.csproj,Aspire.Dashboard.Sdk.win-x64,9.5.1
AllProjects.AppHost/AllProjects.AppHost.csproj,Aspire.Hosting.AppHost,9.5.1
AllProjects.AppHost/AllProjects.AppHost.csproj,Aspire.Hosting.MongoDB,9.5.1
AllProjects.AppHost/AllProjects.AppHost.csproj,Aspire.Hosting.NodeJs,9.5.1
AllProjects.AppHost/AllProjects.AppHost.csproj,Aspire.Hosting.Orchestration.win-x64,9.5.1
AllProjects.AppHost/AllProjects.AppHost.csproj,Aspire.Hosting.Redis,9.5.2
AllProjects.ServiceDefaults/AllProjects.ServiceDefaults.csproj,Microsoft.Extensions.Http.Resilience,9.1.0
AllProjects.ServiceDefaults/AllProjects.ServiceDefaults.csproj,Microsoft.Extensions.ServiceDiscovery,9.3.0
AllProjects.ServiceDefaults/AllProjects.ServiceDefaults.csproj,OpenTelemetry.Exporter.OpenTelemetryProtocol,1.12.0
AllProjects.ServiceDefaults/AllProjects.ServiceDefaults.csproj,OpenTelemetry.Extensions.Hosting,1.12.0
AllProjects.ServiceDefaults/AllProjects.ServiceDefaults.csproj,OpenTelemetry.Instrumentation.AspNetCore,1.12.0
AllProjects.ServiceDefaults/AllProjects.ServiceDefaults.csproj,OpenTelemetry.Instrumentation.Http,1.12.0
AllProjects.ServiceDefaults/AllProjects.ServiceDefaults.csproj,OpenTelemetry.Instrumentation.Runtime,1.12.0
Apps/GaChatbot/GaChatbot.csproj,Microsoft.Extensions.AI,9.4.0-preview.1.25207.5
Apps/GaChatbot/GaChatbot.csproj,Microsoft.Extensions.AI.Ollama,9.4.0-preview.1.25207.5
Apps/GaChatbot/GaChatbot.csproj,Microsoft.Extensions.AI.OpenAI,9.4.0-preview.1.25207.5
Apps/GaChatbot/GaChatbot.csproj,Microsoft.Extensions.DependencyInjection,9.0.0
Apps/GaChatbot/GaChatbot.csproj,Microsoft.Extensions.Hosting,9.0.0
Apps/GaChatbot/GaChatbot.csproj,System.Numerics.Tensors,9.0.0
Apps/GaChatbotCli/GaChatbotCli.csproj,Microsoft.Extensions.Hosting,10.0.0
Apps/GaChatbotCli/GaChatbotCli.csproj,Microsoft.Extensions.Logging.Console,10.0.0
Apps/GaMemoryCli/GaMemoryCli.csproj,Microsoft.Extensions.Configuration,10.0.0
Apps/GaMemoryCli/GaMemoryCli.csproj,Microsoft.Extensions.Configuration.EnvironmentVariables,10.0.0
Apps/GaMemoryCli/GaMemoryCli.csproj,Microsoft.Extensions.Logging.Console,10.0.0
Apps/GaMusicTheoryLsp/GaMusicTheoryLsp.fsproj,Newtonsoft.Json,13.0.3
Apps/GaQaMcp/GaQaMcp.csproj,Microsoft.Extensions.Hosting,9.0.4
Apps/GaQaMcp/GaQaMcp.csproj,Microsoft.Extensions.Logging.Console,9.0.4
Apps/GaQaMcp/GaQaMcp.csproj,ModelContextProtocol,1.1.0
