from,to
AllProjects.AppHost/AllProjects.AppHost.csproj,AllProjects.ServiceDefaults/AllProjects.ServiceDefaults.csproj
AllProjects.AppHost/AllProjects.AppHost.csproj,Apps/ga-server/GaApi/GaApi.csproj
Apps/FloorManager/FloorManager.csproj,AllProjects.ServiceDefaults/AllProjects.ServiceDefaults.csproj
Apps/FloorManager/FloorManager.csproj,Common/GA.Domain.Core/GA.Domain.Core.csproj
Apps/FloorManager/FloorManager.csproj,Common/GA.Domain.Services/GA.Domain.Services.csproj
Apps/GaChatbot.Api/GaChatbot.Api.csproj,Common/GA.Business.Core.Orchestration/GA.Business.Core.Orchestration.csproj
Apps/GaChatbot.Api/GaChatbot.Api.csproj,Common/GA.Business.DSL/GA.Business.DSL.fsproj
Apps/GaChatbot.Api/GaChatbot.Api.csproj,Common/GA.Business.ML/GA.Business.ML.csproj
Apps/GaChatbot.Api/GaChatbot.Api.csproj,Common/GA.Domain.Core/GA.Domain.Core.csproj
Apps/GaChatbot.Api/GaChatbot.Api.csproj,Common/GA.Domain.Services/GA.Domain.Services.csproj
Apps/GaChatbot.Api/GaChatbot.Api.csproj,Common/GA.Infrastructure/GA.Infrastructure.csproj
Apps/GaChatbot/GaChatbot.csproj,Common/GA.Business.Core.Orchestration/GA.Business.Core.Orchestration.csproj
Apps/GaChatbot/GaChatbot.csproj,Common/GA.Business.DSL/GA.Business.DSL.fsproj
Apps/GaChatbot/GaChatbot.csproj,Common/GA.Business.ML/GA.Business.ML.csproj
Apps/GaChatbot/GaChatbot.csproj,Common/GA.Domain.Core/GA.Domain.Core.csproj
Apps/GaChatbot/GaChatbot.csproj,Common/GA.Domain.Services/GA.Domain.Services.csproj
Apps/GaChatbot/GaChatbot.csproj,Common/GA.Infrastructure/GA.Infrastructure.csproj
Apps/GaChatbot/GaChatbot.csproj,GA.Data.MongoDB/GA.Data.MongoDB.csproj
Apps/GaChatbotCli/GaChatbotCli.csproj,Common/GA.Business.Config/GA.Business.Config.fsproj
Apps/GaChatbotCli/GaChatbotCli.csproj,Common/GA.Business.Core.Orchestration/GA.Business.Core.Orchestration.csproj
Apps/GaChatbotCli/GaChatbotCli.csproj,Common/GA.Business.ML/GA.Business.ML.csproj
