child,parent
f43ba7e0052da1059f6cb144334c0436ea752a0e,eda2608592fdde5151881793763104d7295f9c6a
a79c0bcd42878d581d8b3853217b61eea0d8cc9f,f43ba7e0052da1059f6cb144334c0436ea752a0e
f834dcf298206efddfa70d4f5478f733a4547277,a79c0bcd42878d581d8b3853217b61eea0d8cc9f
4715f83eb53acdd9970f2797e185db21c3f4f443,f834dcf298206efddfa70d4f5478f733a4547277
4d29ba02e785e2ae04c76719d12ac766854170b9,4715f83eb53acdd9970f2797e185db21c3f4f443
1adf60f7ec6fd0025fbfce79bd8f2744e623b131,4d29ba02e785e2ae04c76719d12ac766854170b9
afe6ef4c7468ad72378a98f6d4c7a1865394a35d,1adf60f7ec6fd0025fbfce79bd8f2744e623b131
bd9249eb94bf1520b35864a7e5abf1f4ce70909f,afe6ef4c7468ad72378a98f6d4c7a1865394a35d
9d3344b2a8ad99f4aa7d5ce368eae5cc1d168f89,bd9249eb94bf1520b35864a7e5abf1f4ce70909f
f84a44ed4ad19d03e88d35be547160f29efb4222,9d3344b2a8ad99f4aa7d5ce368eae5cc1d168f89
00f2ca4afc711e4e01e4345bbe8a7ec8120befcc,f84a44ed4ad19d03e88d35be547160f29efb4222
95a42daa36c4353c0b5282461469a891edf30e7e,00f2ca4afc711e4e01e4345bbe8a7ec8120befcc
6145ed718b8f70b2878eb56e09a8f2c0253aea77,95a42daa36c4353c0b5282461469a891edf30e7e
d20097c5fd8a3146d4b3cfd319fee6d07ec246bd,6145ed718b8f70b2878eb56e09a8f2c0253aea77
6739492ecf2813f5240fb83c22e34a757104235d,d20097c5fd8a3146d4b3cfd319fee6d07ec246bd
9f5d4c83df72c10a53aeef4fbceba0ba222bfc17,6739492ecf2813f5240fb83c22e34a757104235d
6275f6acfdb89c1da290ea944bedc62314c14031,9f5d4c83df72c10a53aeef4fbceba0ba222bfc17
8ef03ec7e75dda635da5278add210f064cd4852b,6275f6acfdb89c1da290ea944bedc62314c14031
04c8770830c5666ca1e9bb8a4711065edfb351b4,8ef03ec7e75dda635da5278add210f064cd4852b
