job_id,workflow,job,os,queue_s,setup_s,checkout_s,post_checkout_s,complete_s
103749457156,Deploy to GitHub Pages,build,ubuntu,4,4,1,0,1
103751006171,Deploy to GitHub Pages,build,ubuntu,3,4,0,0,0
103753035013,Rust course examples,rust-for-csharp-java,ubuntu,3,0,1,0,0
103753035138,Deploy to GitHub Pages,build,ubuntu,2,2,1,0,0
103753181064,Rust course examples,rust-for-csharp-java,ubuntu,3,1,1,0,0
103753181143,Deploy to GitHub Pages,build,ubuntu,3,3,1,0,0
103754989710,Deploy to GitHub Pages,build,ubuntu,3,3,1,0,0
103756538384,Deploy to GitHub Pages,build,ubuntu,3,2,1,0,0
103756538632,Rust course examples,rust-for-csharp-java,ubuntu,2,1,0,1,0
103757099933,Deploy to GitHub Pages,build,ubuntu,3,2,1,0,0
103757899436,Deploy to GitHub Pages,build,ubuntu,3,4,1,0,0
103758660673,Deploy to GitHub Pages,build,ubuntu,4,3,0,0,0
103758957934,Deploy to GitHub Pages,build,ubuntu,2,3,1,1,0
103759809485,Deploy to GitHub Pages,build,ubuntu,3,2,1,0,0
103760280845,Deploy to GitHub Pages,build,ubuntu,2,1,1,0,0
103760280866,Rust course examples,rust-for-csharp-java,ubuntu,3,1,1,0,0
103760943518,Deploy to GitHub Pages,build,ubuntu,3,3,1,1,0
103761966608,Deploy to GitHub Pages,build,ubuntu,3,3,1,0,0
103763999563,Deploy to GitHub Pages,build,ubuntu,3,3,1,0,0
103764000420,Rust course examples,rust-for-csharp-java (macos-latest),macos,8,1,2,0,0
103764000565,Rust course examples,rust-for-csharp-java (windows-latest),windows,5,2,11,2,0
103764000582,Rust course examples,rust-for-csharp-java (ubuntu-latest),ubuntu,3,1,1,1,0
103764184720,WSL containers examples,lesson-04 (csharp-api),ubuntu,3,1,1,0,0
103764184729,Rust course examples,rust-for-csharp-java (macos-latest),macos,7,1,2,1,0
103764184785,Rust course examples,rust-for-csharp-java (ubuntu-latest),ubuntu,2,1,0,0,0
103764184787,Rust course examples,rust-for-csharp-java (windows-latest),windows,3,1,5,3,0
103764184844,WSL containers examples,lesson-04 (java-reactor-api),ubuntu,3,0,1,1,0
103764185038,Deploy to GitHub Pages,build,ubuntu,3,4,1,0,0
103764302700,Deploy to GitHub Pages,build,ubuntu,4,3,1,1,0
103764302730,Rust course examples,rust-for-csharp-java (macos-latest),macos,7,1,2,0,1
103764302844,Rust course examples,rust-for-csharp-java (windows-latest),windows,3,1,7,3,0
103764302980,Rust course examples,rust-for-csharp-java (ubuntu-latest),ubuntu,4,1,1,0,0
103765546788,Deploy to GitHub Pages,build,ubuntu,2,2,1,0,0
103765631502,Deploy to GitHub Pages,build,ubuntu,3,3,1,0,0
103766927291,Deploy to GitHub Pages,build,ubuntu,3,3,1,0,0
103766996758,Deploy to GitHub Pages,build,ubuntu,3,4,1,1,0
103767170111,Deploy to GitHub Pages,build,ubuntu,3,3,1,0,0
103767897009,Deploy to GitHub Pages,build,ubuntu,3,3,1,0,0
103769373376,Deploy to GitHub Pages,build,ubuntu,3,2,1,0,0
103771609841,Deploy to GitHub Pages,build,ubuntu,3,3,1,1,0
103774257301,Deploy to GitHub Pages,build,ubuntu,2,4,2,1,0
103776298717,Rust course examples,rust-for-csharp-java (ubuntu-latest),ubuntu,5,1,1,1,0
103776298804,Rust course examples,rust-for-csharp-java (windows-latest),windows,3,1,5,2,0
103776298839,Java course examples,java-for-csharp (windows-latest),windows,3,3,9,2,0
103776298884,Rust course examples,rust-for-csharp-java (macos-latest),macos,9,2,3,1,2
103776298994,Java course examples,java-for-csharp (ubuntu-latest),ubuntu,2,1,1,1,0
103776298995,Java course examples,java-for-csharp (macos-latest),macos,10,3,3,1,1
103776299340,Deploy to GitHub Pages,build,ubuntu,3,3,1,0,0
103776840106,Deploy to GitHub Pages,build,ubuntu,3,4,1,0,0
103776840160,Rust course examples,rust-for-csharp-java (macos-latest),macos,10,1,3,0,1
103776840297,WSL containers examples,lesson-05-api,windows,3,0,5,3,0
103776840303,Rust course examples,rust-for-csharp-java (ubuntu-latest),ubuntu,5,1,1,1,0
103776840331,Rust course examples,rust-for-csharp-java (windows-latest),windows,3,1,5,2,1
103776840416,WSL containers examples,lesson-04 (java-reactor-api),ubuntu,3,0,1,0,0
103776840417,WSL containers examples,lesson-04 (csharp-api),ubuntu,4,0,1,0,0
103776920024,Rust course examples,rust-for-csharp-java (macos-latest),macos,8,2,2,0,1
103776920133,Deploy to GitHub Pages,build,ubuntu,3,2,1,0,0
103776920158,Rust course examples,rust-for-csharp-java (windows-latest),windows,3,2,8,3,0
103776920217,Rust course examples,rust-for-csharp-java (ubuntu-latest),ubuntu,3,1,2,0,0
103777494302,Deploy to GitHub Pages,build,ubuntu,3,2,1,0,0
103830512219,Deploy to GitHub Pages,build,ubuntu,7,2,1,1,0
103830512225,Rust course examples,rust-for-csharp-java (macos-latest),macos,8,2,2,0,0
103830512302,Java course examples,java-for-csharp (macos-latest),macos,10,1,3,1,1
103830512314,Rust course examples,rust-for-csharp-java (windows-latest),windows,3,1,5,2,0
103830512362,Rust course examples,rust-for-csharp-java (ubuntu-latest),ubuntu,3,1,2,0,0
103830512392,Java course examples,java-for-csharp (ubuntu-latest),ubuntu,4,3,2,0,0
103830512426,Java course examples,java-for-csharp (windows-latest),windows,4,2,5,2,0
103833377346,Rust course examples,rust-for-csharp-java (macos-latest),macos,7,2,1,0,1
103833377461,Rust course examples,rust-for-csharp-java (ubuntu-latest),ubuntu,3,1,1,0,0
103833377485,Java course examples,java-for-csharp (windows-latest),windows,3,1,6,2,0
103833377490,Deploy to GitHub Pages,build,ubuntu,3,2,1,0,0
103833377505,Rust course examples,rust-for-csharp-java (windows-latest),windows,3,1,5,2,0
103833377556,Java course examples,java-for-csharp (macos-latest),macos,5,3,1,1,0
103833377563,Java course examples,java-for-csharp (ubuntu-latest),ubuntu,3,2,1,1,0
103836755249,Rust course examples,rust-for-csharp-java (ubuntu-latest),ubuntu,3,1,0,1,0
103836755301,Deploy to GitHub Pages,build,ubuntu,3,3,2,0,0
103836755387,Rust course examples,rust-for-csharp-java (windows-latest),windows,3,1,5,3,0
103836755392,Rust course examples,rust-for-csharp-java (macos-latest),macos,8,2,2,1,1
103836755862,Java course examples,java-for-csharp (ubuntu-latest),ubuntu,3,2,1,1,0
103836755965,Java course examples,java-for-csharp (macos-latest),macos,7,3,1,1,2
