path,name,language,sdk,frameworks,in_solution
AllProjects.AppHost/AllProjects.AppHost.csproj,AllProjects.AppHost,C#,Microsoft.NET.Sdk,net10.0,true
AllProjects.ServiceDefaults/AllProjects.ServiceDefaults.csproj,AllProjects.ServiceDefaults,C#,Microsoft.NET.Sdk,net10.0,true
Apps/demerzel-bridge/DemerzelBridge/DemerzelBridge.csproj,DemerzelBridge,C#,Microsoft.NET.Sdk,net10.0,false
Apps/FloorManager/FloorManager.csproj,FloorManager,C#,Microsoft.NET.Sdk.Web,net10.0,false
Apps/ga-server/GA.Analytics.Service/GA.Analytics.Service.csproj,GA.Analytics.Service,C#,Microsoft.NET.Sdk.Web,net10.0,true
Apps/ga-server/GA.BSP.Service/GA.BSP.Service.csproj,GA.BSP.Service,C#,Microsoft.NET.Sdk.Web,net10.0,true
Apps/ga-server/GA.DocumentProcessing.Service/GA.DocumentProcessing.Service.csproj,GA.DocumentProcessing.Service,C#,Microsoft.NET.Sdk.Web,net10.0,false
Apps/ga-server/GA.Fretboard.Service/GA.Fretboard.Service.csproj,GA.Fretboard.Service,C#,Microsoft.NET.Sdk.Web,net10.0,true
Apps/ga-server/GA.Knowledge.Service/GA.Knowledge.Service.csproj,GA.Knowledge.Service,C#,Microsoft.NET.Sdk.Web,net10.0,true
Apps/ga-server/GA.MusicTheory.Service/GA.MusicTheory.Service.csproj,GA.MusicTheory.Service,C#,Microsoft.NET.Sdk.Web,net10.0,true
Apps/ga-server/GaApi/CUDA/VectorOperations.csproj,VectorOperations,C#,Microsoft.NET.Sdk,net10.0,true
Apps/ga-server/GaApi/GaApi.csproj,GaApi,C#,Microsoft.NET.Sdk.Web,net10.0,true
Apps/GaChatbot/GaChatbot.csproj,GaChatbot,C#,Microsoft.NET.Sdk,net10.0,false
Apps/GaChatbot.Api/GaChatbot.Api.csproj,GaChatbot.Api,C#,Microsoft.NET.Sdk.Web,net10.0,true
Apps/GaChatbotCli/GaChatbotCli.csproj,GaChatbotCli,C#,Microsoft.NET.Sdk,net10.0,true
Apps/GaCli/GaCli.fsproj,GaCli,F#,Microsoft.NET.Sdk,net10.0,true
Apps/GaMemoryCli/GaMemoryCli.csproj,GaMemoryCli,C#,Microsoft.NET.Sdk,net10.0,true
Apps/GaMusicTheoryLsp/GaMusicTheoryLsp.fsproj,GaMusicTheoryLsp,F#,Microsoft.NET.Sdk,net10.0,true
Apps/GaQaMcp/GaQaMcp.csproj,GaQaMcp,C#,Microsoft.NET.Sdk,net10.0,true
Apps/InteractiveTutorial/InteractiveTutorial.csproj,InteractiveTutorial,C#,Microsoft.NET.Sdk,net10.0,false
Apps/ScenesService/ScenesService.csproj,ScenesService,C#,Microsoft.NET.Sdk.Web,net10.0,false
Apps/VoicingSearchDemo/VoicingSearchDemo.csproj,VoicingSearchDemo,C#,Microsoft.NET.Sdk,net10.0,false
Benchmarks/GA.Domain.Core.Benchmarks/GA.Domain.Core.Benchmarks.csproj,GA.Domain.Core.Benchmarks,C#,Microsoft.NET.Sdk,net10.0,false
ChordSystemTest/ChordSystemTest.csproj,ChordSystemTest,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Application/GA.Application.csproj,GA.Application,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.BSP.Core/GA.BSP.Core.csproj,GA.BSP.Core,C#,Microsoft.NET.Sdk,net10.0,false
Common/GA.Business.AI/GA.Business.AI.csproj,GA.Business.AI,C#,Microsoft.NET.Sdk.Web,net10.0,false
Common/GA.Business.Analytics/GA.Business.Analytics.csproj,GA.Business.Analytics,C#,Microsoft.NET.Sdk,net10.0,false
Common/GA.Business.Assets/GA.Business.Assets.csproj,GA.Business.Assets,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Business.Config/GA.Business.Config.fsproj,GA.Business.Config,F#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Business.Core/GA.Business.Core.csproj,GA.Business.Core,C#,Microsoft.NET.Sdk,net10.0,false
Common/GA.Business.Core.Analysis.Gpu/GA.Business.Core.Analysis.Gpu.csproj,GA.Business.Core.Analysis.Gpu,C#,Microsoft.NET.Sdk,net10.0,false
Common/GA.Business.Core.Generated/GA.Business.Core.Generated.fsproj,GA.Business.Core.Generated,F#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Business.Core.Orchestration/GA.Business.Core.Orchestration.csproj,GA.Business.Core.Orchestration,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Business.DSL/GA.Business.DSL.fsproj,GA.Business.DSL,F#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Business.DSL.SourceGen/GA.Business.DSL.SourceGen.csproj,GA.Business.DSL.SourceGen,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Business.Graphiti/GA.Business.Graphiti.csproj,GA.Business.Graphiti,C#,Microsoft.NET.Sdk,net10.0,false
Common/GA.Business.Intelligence/GA.Business.Intelligence.csproj,GA.Business.Intelligence,C#,Microsoft.NET.Sdk,net10.0,false
Common/GA.Business.ML/GA.Business.ML.csproj,GA.Business.ML,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Business.ProbabilisticGrammar/GA.Business.ProbabilisticGrammar.fsproj,GA.Business.ProbabilisticGrammar,F#,Microsoft.NET.Sdk,net10.0,false
Common/GA.Core/GA.Core.csproj,GA.Core,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Data.EntityFramework/GA.Data.EntityFramework.csproj,GA.Data.EntityFramework,C#,Microsoft.NET.Sdk,net10.0,false
Common/GA.Domain.Core/GA.Domain.Core.csproj,GA.Domain.Core,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Domain.Repositories/GA.Domain.Repositories.csproj,GA.Domain.Repositories,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Domain.Services/GA.Domain.Services.csproj,GA.Domain.Services,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Infrastructure/GA.Infrastructure.csproj,GA.Infrastructure,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Interactive/GA.Interactive.csproj,GA.Interactive,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Interactive.LocalNuGet/GA.Interactive.LocalNuGet.csproj,GA.Interactive.LocalNuGet,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.InteractiveExtension/GA.InteractiveExtension.csproj,GA.InteractiveExtension,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Presentation/GA.Presentation.csproj,GA.Presentation,C#,Microsoft.NET.Sdk,net10.0,true
Common/GA.Providers.Anthropic/GA.Providers.Anthropic.csproj,GA.Providers.Anthropic,C#,Microsoft.NET.Sdk,net10.0,false
Common/GA.Testing.Semantic/GA.Testing.Semantic.csproj,GA.Testing.Semantic,C#,Microsoft.NET.Sdk,net10.0,true
Demos/Advanced/AdvancedMathematicsDemo/AdvancedMathematicsDemo.csproj,AdvancedMathematicsDemo,C#,Microsoft.NET.Sdk,net10.0,true
Demos/Advanced/AIIntegrationDemo/AIIntegrationDemo.csproj,AIIntegrationDemo,C#,Microsoft.NET.Sdk,net10.0,true
Demos/Advanced/BSPDemo/BSPDemo.csproj,BSPDemo,C#,Microsoft.NET.Sdk,net10.0,true
Demos/Advanced/InternetContentDemo/InternetContentDemo.csproj,InternetContentDemo,C#,Microsoft.NET.Sdk,net10.0,true
Demos/AtonalModalFamiliesGenerator/AtonalModalFamiliesGenerator.csproj,AtonalModalFamiliesGenerator,C#,Microsoft.NET.Sdk,net10.0,false
Demos/IntelligentAnalysis/IntelligentAnalysisDemo.csproj,IntelligentAnalysisDemo,C#,Microsoft.NET.Sdk,net10.0,false
Demos/Music Theory/AdvancedFretboardAnalysisDemo/AdvancedFretboardAnalysisDemo.csproj,AdvancedFretboardAnalysisDemo,C#,Microsoft.NET.Sdk,net10.0,true
Demos/Music Theory/ChordNamingDemo/ChordNamingDemo.csproj,ChordNamingDemo,C#,Microsoft.NET.Sdk,net10.0,false
Demos/Music Theory/FretboardChordTest/FretboardChordTest.csproj,FretboardChordTest,C#,Microsoft.NET.Sdk,net10.0,true
Demos/Music Theory/FretboardExplorer/FretboardExplorer.csproj,FretboardExplorer,C#,Microsoft.NET.Sdk.Web,net10.0,false
Demos/Music Theory/FretboardVoicingsCLI/FretboardVoicingsCLI.csproj,FretboardVoicingsCLI,C#,Microsoft.NET.Sdk,net10.0,true
Demos/Music Theory/MusicalAnalysisApp/MusicalAnalysisApp.csproj,MusicalAnalysisApp,C#,Microsoft.NET.Sdk,net10.0,true
Demos/Music Theory/PracticeRoutineDSLDemo/PracticeRoutineDSLDemo.csproj,PracticeRoutineDSLDemo,C#,Microsoft.NET.Sdk,net10.0,true
Demos/Performance/GpuBenchmark/GpuBenchmark.csproj,GpuBenchmark,C#,Microsoft.NET.Sdk,net10.0,true
Demos/Performance/HighPerformanceDemo/HighPerformanceDemo.csproj,HighPerformanceDemo,C#,Microsoft.NET.Sdk,net10.0,true
Demos/Performance/PerformanceOptimizationDemo/PerformanceOptimizationDemo.csproj,PerformanceOptimizationDemo,C#,Microsoft.NET.Sdk,net10.0,true
Demos/Performance/VectorSearchBenchmark/VectorSearchBenchmark.csproj,VectorSearchBenchmark,C#,Microsoft.NET.Sdk,net10.0,true
Demos/ScaleCatalogGenerator/ScaleCatalogGenerator.csproj,ScaleCatalogGenerator,C#,Microsoft.NET.Sdk,net10.0,false
Demos/VoicingAnalysisAudit/VoicingAnalysisAudit.csproj,VoicingAnalysisAudit,C#,Microsoft.NET.Sdk,net10.0,false
Experiments/MyFirstMCP/MyFirstMCP.csproj,MyFirstMCP,C#,Microsoft.NET.Sdk,net10.0,true
Experiments/React/ReactApp1.Server/ReactApp1.Server.csproj,ReactApp1.Server,C#,Microsoft.NET.Sdk.Web,net10.0,true
Experiments/UseGaNugetPackageExample/UseGaNugetPackageExample.csproj,UseGaNugetPackageExample,C#,Microsoft.NET.Sdk,net10.0,true
GA.Business.Querying/GA.Business.Querying.csproj,GA.Business.Querying,C#,Microsoft.NET.Sdk,net10.0,false
GA.Data.MongoDB/GA.Data.MongoDB.csproj,GA.Data.MongoDB,C#,Microsoft.NET.Sdk,net10.0,true
GA.Data.SemanticKernel.Embeddings/GA.Data.SemanticKernel.Embeddings.csproj,GA.Data.SemanticKernel.Embeddings,C#,Microsoft.NET.Sdk,net10.0,true
GA.WebBlazorApp/GA.WebBlazorApp.csproj,GA.WebBlazorApp,C#,Microsoft.NET.Sdk.Web,net10.0,false
GaCLI/GaCLI.csproj,GaCLI,C#,Microsoft.NET.Sdk,net10.0,false
GaMcpServer/GaMcpServer.csproj,GaMcpServer,C#,Microsoft.NET.Sdk,net10.0,false
GenerateNatData/GenerateNatData.csproj,GenerateNatData,C#,Microsoft.NET.Sdk,net10.0,true
GuitarAlchemist.Registry/GuitarAlchemist.Registry.csproj,GuitarAlchemist.Registry,C#,Microsoft.NET.Sdk,net10.0,true
GuitarAlchemist.Registry.Tests/GuitarAlchemist.Registry.Tests.csproj,GuitarAlchemist.Registry.Tests,C#,Microsoft.NET.Sdk,net10.0,true
GuitarChordProgressionMCTS/GuitarChordProgressionMCTS.csproj,GuitarChordProgressionMCTS,C#,Microsoft.NET.Sdk,net10.0,true
Tests/Apps/GA.MusicTheory.Service.Tests/GA.MusicTheory.Service.Tests.csproj,GA.MusicTheory.Service.Tests,C#,Microsoft.NET.Sdk.Web,net10.0,true
Tests/Apps/GA.TabConversion.Api.Tests/GA.TabConversion.Api.Tests.csproj,GA.TabConversion.Api.Tests,C#,Microsoft.NET.Sdk,net10.0,false
Tests/Apps/GaApi.Tests/GaApi.Tests.csproj,GaApi.Tests,C#,Microsoft.NET.Sdk,net10.0,true
Tests/Apps/GaChatbot.Api.Tests/GaChatbot.Api.Tests.csproj,GaChatbot.Api.Tests,C#,Microsoft.NET.Sdk,net10.0,true
Tests/Apps/GaChatbot.Tests/GaChatbot.Tests.csproj,GaChatbot.Tests,C#,Microsoft.NET.Sdk,net10.0,false
Tests/Apps/GaMcpServer.Tests/GaMcpServer.Tests.csproj,GaMcpServer.Tests,C#,Microsoft.NET.Sdk,net10.0,false
Tests/Common/GA.Business.Core.Graphiti.Tests/GA.Business.Core.Graphiti.Tests.csproj,GA.Business.Core.Graphiti.Tests,C#,Microsoft.NET.Sdk,net10.0,false
Tests/Common/GA.Business.Core.Tests/GA.Business.Core.Tests.csproj,GA.Business.Core.Tests,C#,Microsoft.NET.Sdk,net10.0,true
Tests/Common/GA.Business.DSL.Tests/GA.Business.DSL.Tests.csproj,GA.Business.DSL.Tests,C#,Microsoft.NET.Sdk,net10.0,true
Tests/Common/GA.Business.ML.Tests/GA.Business.ML.Tests.csproj,GA.Business.ML.Tests,C#,Microsoft.NET.Sdk,net10.0,true
Tests/Common/GA.Business.ProbabilisticGrammar.Tests/GA.Business.ProbabilisticGrammar.Tests.csproj,GA.Business.ProbabilisticGrammar.Tests,C#,Microsoft.NET.Sdk,net10.0,false
Tests/Common/GA.Core.Tests/GA.Core.Tests.csproj,GA.Core.Tests,C#,Microsoft.NET.Sdk,net10.0,true
Tests/Common/GA.InteractiveExtension/GA.InteractiveExtension.Tests.csproj,GA.InteractiveExtension.Tests,C#,Microsoft.NET.Sdk,net10.0,true
Tests/FloorManager.Tests.Playwright/FloorManager.Tests.Playwright.csproj,FloorManager.Tests.Playwright,C#,Microsoft.NET.Sdk,net10.0,false
Tests/GA.Domain.Core.Tests/GA.Domain.Core.Tests.csproj,GA.Domain.Core.Tests,C#,Microsoft.NET.Sdk,net10.0,true
Tests/GaApi.Tests/GaApi.Tests.csproj,GaApi.Tests,C#,Microsoft.NET.Sdk,net10.0,false
Tests/GuitarAlchemistChatbot.Tests.Playwright/GuitarAlchemistChatbot.Tests.Playwright.csproj,GuitarAlchemistChatbot.Tests.Playwright,C#,Microsoft.NET.Sdk,net10.0,false
Tools/EmbeddingGenerator/EmbeddingGenerator.csproj,EmbeddingGenerator,C#,Microsoft.NET.Sdk,net10.0,true
Tools/GA.TabConversion.Api/GA.TabConversion.Api.csproj,GA.TabConversion.Api,C#,Microsoft.NET.Sdk.Web,net10.0,true
Tools/GaDataCLI/GaDataCLI.csproj,GaDataCLI,C#,Microsoft.NET.Sdk,net10.0,true
